ATNINTER,20190829,0.1,0.15,0.1,0.1,5157
ATUL,20190829,3509,3520,3460,3480.45,6831
ATULAUTO,20190829,217.05,218.65,206.45,207.55,9067
AUBANK,20190829,669,673.55,658,661.35,102347
AURIONPRO,20190829,89.75,93.1,88,90,12496
AUROPHARMA,20190829,591,596.5,583.95,591.1,1732977
AUSOMENT,20190829,29.55,32,29.55,29.9,1917
AUTOAXLES,20190829,807,822.1,801,807.4,1872
AUTOIND,20190829,34.4,34.4,33.3,33.95,2245
AUTOLITIND,20190829,21.9,21.9,19.35,21.45,789
AVADHSUGAR,20190829,224.5,229.55,215.3,217.8,85029
AVANTIFEED,20190829,306,310,305,307.15,159118
AVTNPL,20190829,21.25,21.55,21,21.15,21601
AXISBANK,20190829,674,676.75,658.9,661.15,8753540
AXISCADES,20190829,62.5,64.4,61.75,63.1,205614
AXISGOLD,20190829,3448,3450,3402.1,3434.1,444
AXISNIFTY,20190829,1136.85,1136.85,1124.16,1131.09,17
AYMSYNTEX,20190829,30.55,32.5,26.8,32,32630
BAGFILMS,20190829,2.75,2.85,2.6,2.75,280545
BAJAJ-AUTO,20190829,2762,2786.75,2738.4,2757.8,438739
BAJAJCON,20190829,251,256.5,250,253.65,633358
BAJAJELEC,20190829,393,397.75,387.5,389.3,31303
BAJAJFINSV,20190829,7025,7055,6931.2,6979.85,312764
BAJAJHIND,20190829,5.7,5.7,5.35,5.4,1774451
BAJAJHLDNG,20190829,3284.1,3320,3284.1,3310.3,10291
BAJFINANCE,20190829,3323.7,3330,3276,3299.3,1529926
BALAJITELE,20190829,65,65.05,56.85,57.95,628643
BALAMINES,20190829,263,263,252.05,252.6,17283
BALAXI,20190829,91,91,82.4,83.55,1063
BALKRISHNA,20190829,18.35,18.35,17.2,17.55,6335
BALKRISIND,20190829,744.55,754,740,745.15,323797
BALLARPUR,20190829,0.75,0.8,0.7,0.8,1485440
BALMLAWRIE,20190829,173,174.25,170.55,172.2,60884
BALPHARMA,20190829,39.05,39.9,37.1,37.9,6241
BALRAMCHIN,20190829,131,134.9,127.75,131.6,3118098
BANARBEADS,20190829,41,41,39.9,40.8,21026
BANARISUG,20190829,1187,1187,1065.15,1137.8,333
BANCOINDIA,20190829,99.55,101,97.5,98.2,11961
BANDHANBNK,20190829,474.4,475.05,460.25,465.4,442322
BANG,20190829,30.95,32.55,29.5,30.75,18862
BANKBARODA,20190829,94,96,91.35,91.8,28470571
BANKBEES,20190829,2835,2835,2785,2794.45,14198
BANKINDIA,20190829,67.25,68.05,64.65,65.9,6960975
BANSWRAS,20190829,64.4,65.5,63.4,64.35,1837
BARTRONICS,20190829,2.8,2.8,2.65,2.65,2546
BASF,20190829,1036,1036.2,1007.15,1022.6,1696
BASML,20190829,122.25,122.25,105.15,115.95,12462
BATAINDIA,20190829,1507,1515,1491.45,1506.5,446936
BAYERCROP,20190829,3084.65,3119.7,3071,3105.75,1314
BBL,20190829,895,906.6,880.1,887.95,32489
BBTC,20190829,894,917.95,851.35,860.25,244767
BCG,20190829,3.65,3.75,3.45,3.45,145100
BCP,20190829,9.75,10.05,9.75,10,4264287
BDL,20190829,281.1,286.85,279.15,282.1,15914
BEARDSELL,20190829,12.8,13,11.35,12.1,970
BEDMUTHA,20190829,12,13.2,11.4,12,23607
BEL,20190829,103.25,106.35,100.75,104.7,20111083
BEML,20190829,802.7,822,790.6,801.6,721975
BEPL,20190829,55.5,55.5,53,53.85,200219
BERGEPAINT,20190829,365.4,371.45,363.4,370.15,689951
BFINVEST,20190829,265.4,268.8,261.1,262.25,18545
BFUTILITIE,20190829,162.4,164.05,158.1,159.2,232659
BGLOBAL,20190829,1.05,1.05,1,1,28840
BGRENERGY,20190829,36.25,36.85,33.75,33.95,143310
BHAGERIA,20190829,106.95,106.95,103,103.2,2845
BHAGYANGR,20190829,21,21,18.55,19.6,8375
BHAGYAPROP,20190829,21,21,21,21,1
BHANDARI,20190829,1.3,1.35,1.25,1.3,28454
BHARATFORG,20190829,389.4,391.3,380.85,382.6,989077
BHARATGEAR,20190829,63,63,59.1,60.35,13502
BHARATRAS,20190829,4800,4884.95,4723,4826.35,451
BHARATWIRE,20190829,30.6,30.95,30.05,30.2,4100
BHARTIARTL,20190829,342.35,349.75,341.15,343.5,5929198
BHEL,20190829,51.35,51.45,50,50.6,7558972
BIGBLOC,20190829,24.8,24.8,22.9,23.05,612
BIL,20190829,207,221.9,207,207.25,43
BILENERGY,20190829,1.5,1.5,1.5,1.5,20949
BINANIIND,20190829,11.95,12.3,11.2,12.3,9622
BINDALAGRO,20190829,8.6,8.6,8,8.1,117191
BIOCON,20190829,218.9,228.95,218.9,227.95,4041972
BIOFILCHEM,20190829,4.95,4.95,4.95,4.95,1500
BIRLACABLE,20190829,44.5,46,42.1,43.45,67958
BIRLACORPN,20190829,537,543.85,526,529.55,54720
BIRLAMONEY,20190829,31.9,31.95,31.1,31.45,15607
BKMINDST,20190829,1.4,1.45,1.35,1.35,19880
BLBLIMITED,20190829,3.35,3.55,3.35,3.55,5500
BLISSGVS,20190829,97.5,105.35,96,102.8,351092
BLKASHYAP,20190829,9.9,9.9,9.55,9.55,24464
BLS,20190829,80,80.5,79.4,80.1,8393
BLUEBLENDS,20190829,1.55,1.55,1.55,1.55,3
BLUECOAST,20190829,2.85,2.85,2.85,2.85,100
BLUEDART,20190829,2218.25,2240.15,2205,2210.55,891
BLUESTARCO,20190829,733,744.3,720.05,724.75,16723
BODALCHEM,20190829,70.3,73.2,70.2,72.45,49349
BOMDYEING,20190829,79.65,83.65,77.6,79.3,2363157
BOROSIL,20190829,135.5,137.5,131.05,132.15,22325
BOSCHLTD,20190829,14130,14330,13844,13999,20266
BPCL,20190829,350.8,357.4,346.5,354.05,4916466
BPL,20190829,16.25,16.95,15.8,15.95,61706
BRFL,20190829,5,5.1,4.95,5.05,7990
BRIGADE,20190829,200,206,190.1,199.35,516124
BRITANNIA,20190829,2703.2,2737,2651.5,2676.85,535368
BRNL,20190829,71.5,71.9,68.3,68.5,1290
BROOKS,20190829,34.55,35,32.75,33.05,12952
BSE,20190829,520,526.3,500,509.35,122576
BSELINFRA,20190829,1,1.1,1,1,20319
BSL,20190829,28,28,26.2,27,11301
BSLGOLDETF,20190829,3600,3648,3565.65,3568.75,55
BSLNIFTY,20190829,119.99,119.99,119.27,119.27,19
BSOFT,20190829,65.25,67.8,64.2,67.05,1246279
BURNPUR,20190829,1.7,1.7,1.6,1.6,5772
BUTTERFLY,20190829,147.25,148.95,145.05,147.9,9883
BVCL,20190829,13.3,14.5,13.3,14.5,561
BYKE,20190829,16.15,16.95,15.95,16.55,22817
CADILAHC,20190829,221.9,222.55,216.95,219.8,1306042
CALSOFT,20190829,16.7,16.7,14.45,14.45,136486
CAMLINFINE,20190829,55.5,56.6,54.6,55.1,34180
CANBK,20190829,225,226.7,217.75,220.6,4790806
CANFINHOME,20190829,402,417,394.75,398.85,767879
CANTABIL,20190829,228.9,231.95,220.1,222.55,14674
CAPACITE,20190829,197.1,201,189.15,194.45,56421
CAPLIPOINT,20190829,410,417.2,410,414,11365
CAPTRUST,20190829,76,81.75,74.1,79.55,9035
CARBORUNIV,20190829,282.75,287.55,280,281.95,104030
CAREERP,20190829,77.1,79,75,75.6,20914
CARERATING,20190829,544.8,546.5,529.35,532.95,67259
CASTEXTECH,20190829,0.55,0.55,0.5,0.55,117039
CASTROLIND,20190829,123.75,124.75,120.25,121.65,1066243
CCHHL,20190829,3.85,3.85,3.6,3.85,12529
CCL,20190829,240.15,243,237.1,238.1,22423
CDSL,20190829,192.5,196.3,191.35,193.4,89243
CEATLTD,20190829,907.5,918,900,911.7,92573
CEBBCO,20190829,14.6,14.6,13.3,13.45,6672
